Chunk	Chunk Root	Chunk Dep	Chunk Head
Mr. Chapman	Chapman	nsubj	published
a paper	paper	dobj	published
the results	results	dobj	giving
his observations	observations	pobj	of
exactly the same ground	ground	pobj	on
I	I	nsubj	covered
fact	fact	pobj	In
I	I	nsubjpass	conducted
Mr. Priour	Priour	pobj	by
who	who	nsubj	acted
my guide	guide	pobj	as
the same collecting grounds	grounds	pobj	to
the immediate vicinity	vicinity	pobj	in
Corpus Christi	Christi	pobj	of
the Nueces River	River	pobj	along
1 Mr. Rhoads	Rhoads	nsubj	presented
his entire collection	collection	dobj	presented
about one thou.sand skins	skins	dobj	numbering
the Academy	Academy	pobj	to
Natural Sciences	Sciences	pobj	of
Philadelphia	Philadelphia	pobj	of
"
The Texas series numbers"	numbers	ROOT	numbers
specimens	specimens	appos	numbers
the Arizona collection	collection	conj	numbers
Mr. Rhoads' absence	absence	pobj	to
Philadelphia	Philadelphia	pobj	from
this paper	paper	dobj	preparing
he	he	nsubj	was
a critical examination	examination	dobj	make
the specimens	specimens	pobj	of
his request	request	pobj	at
I	I	nsubj	added
utiles	utiles	dobj	added
any peculiarities	peculiarities	dobj	exhibited
these annotations	annotations	nsubjpass	followed
my initials	initials	pobj	by
"
Witmer Stone"	Stone	ROOT	Stone
Mus	Mus	appos	Nat
Vol.	.	appos	.
Bull	Bull	appos	.
Am	Am	appos	Bull
Mus	Mus	appos	Am
Vol	Vol	appos	Am
.	.	appos	Vol
.	.	appos	No
Bay svliich lie	lie	nsubj	visited
Mr. Chapman	Chapman	pobj	with
The interval	interval	nsubj	gave
our visits	visits	pobj	between
opportunity	opportunity	dobj	gave
a decided readjustment	readjustment	pobj	for
the bird fauna	fauna	pobj	of
migration	migration	pobj	to
the nesting	nesting	conj	migration
resident species	species	pobj	of
Mr. Beckham's personal observations	observations	nsubj	terminated
Texan birds	birds	pobj	of
March	March	pobj	in
I	I	nsubj	discover
our observers	observers	pobj	of
data	data	dobj	recorded
the early summer birds	birds	pobj	to
the Corpus Christi region	region	pobj	of
Dresser's summer notes	notes	appos	data
the vicinity	vicinity	pobj	to
San Antonio	Antonio	pobj	of
Further description	description	nsubj	be
the region	region	pobj	of
the following notes	notes	pobj	in
the aforementioned authors	authors	nsubj	written
the subject	subject	pobj	on
the annotated list	list	pobj	with
the following observations	observations	nsubjpass	made
nearly all the nonresident birds	birds	nsubj	passed
a drouth	drouth	nsubj	existed
severity	severity	pobj	in
Mr. Beckman's stay	stay	pobj	during
my experience	experience	nsubj	agrees
Mr. Chapman	Chapman	pobj	of
birds	birds	nsubj	were
Nearly half	half	nsubj	feeding
the birds	birds	pobj	of
my departure	departure	pobj	before
many cases	cases	pobj	in
all the more conspicuous the fact	fact	dobj	rendered
many boreal species	species	nsubj	lingered
the water birds	birds	pobj	among
I	I	nsubj	received
corroboration	corroboration	dobj	received
various ways	ways	pobj	in
the annual overstepping	overstepping	nsubj	is
fauual limits	limits	pobj	of
many species	species	pobj	by
a more southerly district	district	pobj	to
their subsequent disappearance	disappearance	conj	overstepping
the end	end	pobj	toward
the spring migration	migration	pobj	of
a marked feature	feature	attr	is
Corpus Christi	Christi	pobj	at
These birds	birds	nsubj	return
due time	time	pobj	in
their ancestral haunts	haunts	pobj	to
Mexico	Mexico	pobj	in
the breeding season	season	nsubj	begins
what extent	extent	pcomp	To
this movement	movement	nsubjpass	held
the sexual excitability	excitability	pobj	to
ignorance	ignorance	conj	excitability
the country	country	pobj	of
birds	birds	pobj	by
the first year	year	pobj	of
the  faunal inosculation	inosculation	pobj	for
Beckham	Beckham	nsubj	speaks
I	I	nsubj	am
the observations	observations	pobj	from
collectors	collectors	pobj	of
this region	region	pobj	in
it	it	nsubj	seems
several species	species	nsubjpass	represented
the avifauna	avifauna	pobj	in
Corpus Christi	Christi	pobj	of
strangers	strangers	attr	were
it	it	pobj	to
the position	position	pobj	to
this territory	territory	nsubj	forming
it	it	nsubj	were
the keystone	keystone	attr	were
three great faunal arches	arches	pobj	of
time	time	pobj	in
the birds	birds	nsubj	approached
their respective regions	regions	pobj	from
a slight change	change	nsubj	precipitate
physical or climatic conditions	conditions	pobj	in
more intimate relations	relations	dobj	precipitate
Precisely such a state	state	nsubj	happened
affairs	affairs	pobj	of
the intermingling	intermingling	nsubj	become
races	races	pobj	of
species	species	conj	races
new territory	territory	pobj	on
a cause	cause	dobj	seeking
I	I	nsubjpass	led
the belief	belief	pobj	to
it	it	nsubj	is
the introduction	introduction	pobj	to
cattle	cattle	pobj	of
we	we	nsubj	remember
the growth	growth	nsubj	is
dense mesquite chaparral	chaparral	pobj	of
such a marked feature	feature	dobj	forms
the landscape	landscape	pobj	in
southeastern Texas	Texas	pobj	of
the tithe	tithe	pobj	upon
open prairie	prairie	pobj	of
the grazing	grazing	pobj	to
immense herds	herds	pobj	of
cattle	cattle	pobj	of
their search	search	pobj	in
subsistence	subsistence	pobj	for
the prairie fire	fire	dobj	robbed
its fuel	fuel	pobj	of
the same time	time	pobj	at
the seeds	seeds	dobj	distributed
mesquite	mesquite	pobj	of
other arborescent shrubs	shrubs	conj	mesquite
this statement	statement	nsubj	appear
it	it	nsubj	seems
The comparatively sudden conversion	conversion	nsubj	aflbrd
many square miles	miles	pobj	of
debatable ornithological ground	ground	pobj	of
prairie	prairie	pobj	from
brushland	brushland	pobj	to
this manner	manner	pobj	in
just such inducements	inducements	dobj	aflbrd
arboreal birds	birds	pobj	to
the further extension	extension	pobj	in
their winter range	range	pobj	of
the north	north	pobj	from
their summer range	range	conj	range
the south	south	pobj	from
the other hand	hand	pobj	On
the true prairie lands	lands	nsubj	diminish
the more strictly plainhaunting species	species	nsubj	disappear
A comparison	comparison	nsubj	tends
the relative abundance	abundance	pobj	of
the species	species	pobj	of
Beckham	Beckham	pobj	by
Mr. Chapman	Chapman	pobj	by
myself	myself	conj	Chapman
"
Even in 1887 the date"	date	ROOT	date
Beckham's observations	observations	pobj	of
Dr. Havard	Havard	nsubj	reports
the mesquite	mesquite	dobj	reports
Beckham	Beckham	nsubj	characterizes
it	it	dobj	characterizes
a dreary waste	waste	dobj	characterizes
The growth	growth	nsubj	tally
mesquite	mesquite	pobj	of
the surrounding country	country	pobj	in
the faunal changes	changes	pobj	with
it	it	nsubjpass	borne
mind	mind	pobj	in
the overstocking	overstocking	nsubj	aflTect
pasture	pasture	pobj	of
cattle	cattle	pobj	with
the consequent efiect	efiect	conj	overstocking
a previously superabundant pasturage	pasturage	pobj	upon
the country	country	dobj	aflTect
city limits	limits	pobj	from
a comparatively small area	area	pobj	beyond
the city	city	dobj	surrounding
the virgin prairie	prairie	nsubj	retained
its original features	features	dobj	retained
this reason	reason	pobj	For
birds	birds	nsubj	were
drouth	drouth	pobj	because
lack	lack	pobj	for
shelter	shelter	pobj	of
food	food	conj	shelter
arboreal habits	habits	pobj	of
Many insectivorous birds	birds	nsubjpass	found
localities	localities	pobj	in
water	water	nsubj	is
the form	form	pobj	in
dew	dew	pobj	of
the juicy nature	nature	pobj	to
their food	food	pobj	of
they	they	nsubj	enjoy
life	life	dobj	enjoy
the luxury	luxury	pobj	without
a drink	drink	pobj	of
It	It	nsubj	seems
the late increase	increase	nsubj	is
passerine birds	birds	pobj	of
this part	part	pobj	in
Texas	Texas	pobj	of
an excess	excess	pobj	to
rainfall	rainfall	pobj	of
the absence	absence	pobj	to
droughts	droughts	pobj	of
late years	years	pobj	in
the vast extension	extension	pobj	to
treecovered areas	areas	pobj	of
the prairie	prairie	pobj	into
the increase	increase	conj	extension
insect and vegetable food	food	pobj	of
this cause	cause	pobj	from
these conditions	conditions	nsubj	apply
the increase	increase	pobj	to
individuals	individuals	pobj	of
old forms	forms	pobj	among
the additional species	species	pobj	to
the Corpus Christi fauna	fauna	pobj	to
The subjoined list	list	nsubj	includes
all birds	birds	dobj	includes
me	me	pobj	by
those species	species	appos	birds
I	I	nsubj	obtain
specimens	specimens	dobj	obtain
an asterisk	asterisk	pobj	by
I	I	nsubj	wish
my grateful indebtedness	indebtedness	dobj	acknowledge
Mr. Witmer Stone Conservator	Conservator	pobj	to
the Ornithological Section	Section	pobj	of
the Academy	Academy	pobj	of
Natural Sciences	Sciences	pobj	of
Philadelphia	Philadelphia	pobj	of
the collection	collection	pobj	for
my absence	absence	pobj	during
invaluable aid	aid	pobj	for
the identification	identification	pobj	in
the material	material	pobj	of
my notes	notes	dobj	revising
"
1.
Larus atricilla Linn"	Linn	ROOT	Linn
"
Laughing Gull"	Gull	ROOT	Gull
Common breeding	breeding	attr	"
"
Corpus Christi Bay	Bay	pobj	about
Nearly a third	third	nsubj	retained
the young autumnal plumage	plumage	dobj	retained
last year	year	pobj	of
Sw	Sw	appos	franklinii
"
Franklin's Gull"	Gull	ROOT	Gull
Five or six individuals	individuals	nsubjpass	noted
this exquisite gull	gull	pobj	of
one male	male	nsubjpass	taken
June	June	pobj	of
The female	female	nsubj	escaped
it	it	dobj	accompanied
me	me	dobj	escaped
The presence	presence	nsubj	seems
this species	species	pobj	of
so late a date	date	pobj	at
Mr. Prion r's assertion	assertion	dobj	corroborate
The flycatching habits	habits	nsubj	are
Franklin's Gull	Gull	pobj	of
I	I	nsubj	seen
a pair	pair	nsubj	rise
a sandbar	sandbar	pobj	from
the mainland	mainland	pobj	to
the chaparral	chaparral	dobj	beat
a most systematic manner	manner	pobj	in
hours	hours	pobj	for
a stretch	stretch	pobj	at
gunshot	gunshot	pobj	of
company	company	pobj	in
Henry's Nighthawk	Nighthawk	pobj	with
the superabundant insect food	food	appos	Nighthawk
their way	way	pobj	in
"3.
Gelochelidon nilotica Hasselq"	Hasselq	dobj	"
"
Gullbilled Tern	Tern	attr	"
"
the marshes	marshes	pobj	on
Sterna tschegrava Lepech	Lepech	conj	Breeding
"
Caspian Tern"	Tern	ROOT	Tern
Nueces Bay	Bay	pobj	in
Sterna forsteri Nutt	Nutt	conj	Common
"
Forster's Tern"	Tern	ROOT	Tern
the genus	genus	pobj	of
its northern congeners	congeners	pobj	like
the presence	presence	dobj	resent
an intruder	intruder	pobj	of
its breeding grounds	grounds	pobj	on
Sterna antillarum	antillarum	appos	.
It	It	nsubj	is
no one	one	nsubj	recorded
the Least Tern	Tern	dobj	recorded
Texas	Texas	pobj	in
Priour	Priour	nsubj	assured
me	me	dobj	assured
the destruction	destruction	pobj	before
Merrill	Merrill	nsubj	found
SenneU	SenneU	conj	Merrill
it	it	nsubj	breeding
sandbars	sandbars	pobj	on
the Rio Grande	Grande	pobj	in
Striker	Striker	nsubj	was
he	he	nsubj	calls
it	it	dobj	calls
I	I	nsubj	found
several skins	skins	dobj	found
this species	species	pobj	of
some thousand millinery pelts	pelts	pobj	among
this locality	locality	pobj	in
Messrs. Fancher	Fancher	pobj	by
Noakes	Noakes	conj	Fancher
Corpus Christi	Christi	pobj	of
one occasion	occasion	pobj	On
I	I	nsubj	noted
a flock	flock	dobj	noted
a dozen	dozen	pobj	of
the town	town	pobj	near
I	I	nsubj	went
the bay	bay	pobj	to
the action	action	pobj	From
these birds	birds	pobj	of
I	I	nsubj	judge
they	they	nsubj	made
their headquarters	headquarters	dobj	made
Hydrochelidon nigra	nigra	dobj	"
"
surinamensis Gmel	Gmel	appos	nigra
American Black Tern	Tern	appos	nigra
this bird	bird	dobj	Saw
the mouth	mouth	pobj	at
the Nueces River	River	pobj	of
one Avas	Avas	nsubj	secured
a full plumaged breeding male	male	dobj	secured
nearly a dozen	dozen	dobj	Saw
This species	species	nsubj	is
the vicinity	vicinity	pobj	from
Corpus Christi	Christi	pobj	of
"8.
Rhynchops nigra Linn"	Linn	oprd	judge
Black Skimmer	Skimmer	oprd	judge
"9.
Phalacrocorax mexicanus Brandt"	Brandt	oprd	judge
An immense flock	flock	nsubjpass	found
these birds	birds	pobj	of
the peninsular flats	flats	pobj	on
the margin	margin	pobj	around
an old pond	pond	pobj	of
One individual	individual	nsubj	was
this flock	flock	pobj	from
a young male	male	attr	was
the year	year	pobj	of
These birds	birds	nsubj	done
breeding	breeding	dobj	done
they	they	nsubj	breed
I	I	nsubj	was
Anas fulvigula maculosa Senn	Senn	appos	10
Mottled Duck	Duck	appos	Senn
the commonest representative	representative	attr	is
its family	family	pobj	of
Nueces Bay	Bay	pobj	on
June	June	pobj	in
it	it	nsubj	breeds
the marshes	marshes	pobj	in
Spatula clypeata Linn	Linn	appos	11
Shoveller	Shoveller	appos	Linn
the mouth	mouth	pobj	at
the Nueces River	River	pobj	of
Roseate Spoonbill	Spoonbill	appos	Linn
the 28th	28th	pobj	On
May	May	pobj	of
Mr. Priour	Priour	pobj	by
I	I	nsubj	sailed
the mouth	mouth	pobj	to
the Nueces River	River	pobj	of
search	search	pobj	in
these birds	birds	pobj	of
a distance	distance	pobj	At
two miles	miles	pobj	of
a couple	couple	nsubjpass	descried
large flocks	flocks	pobj	of
a dull rosy streak	streak	pobj	as
the water's edge	edge	pobj	along
We	We	nsubj	approached
the aid	aid	pobj	with
a glass	glass	pobj	of
an excellent survey	survey	dobj	make
the flocks	flocks	pobj	of
the act	act	pobj	in
they	they	nsubj	noticed
our jiresence	jiresence	dobj	noticed
about two hundred yards	yards	pobj	within
them	them	pobj	of
the whole company	company	nsubj	raised
four or five hundred individuals	individuals	pobj	of
their heads	heads	dobj	raised
the sudden righting	righting	dobj	approaching
a most interesting series	series	pobj	by
manoeuvres	manoeuvres	pobj	of
a contraction	contraction	pobj	of
filling	filling	conj	contraction
all the gaps	gaps	pobj	of
the line	line	pobj	in
a rush	rush	pobj	with
wiugs	wiugs	pobj	of
a glorious burst	burst	appos	rush
color	color	pobj	of
they	they	nsubj	arose
Many other detachments	detachments	nsubj	joined
them	them	dobj	joined
the entire flock	flock	nsubj	numbered
some two miles	miles	dobj	alighted
their former feeding ground	ground	pobj	to
these birds	birds	pobj	of
The adults	adults	nsubj	shedding
their brilliant scarlet patches	patches	dobj	shedding
their skins	skins	nsubj	bristling
pin feathers	feathers	pobj	with
the whitish plumage	plumage	pobj	in
the first year	year	pobj	of
Mr. Priour	Priour	pobj	to
the Spoonbill	Spoonbill	nsubj	attains
its maximum plumage development	development	dobj	attains
January	January	pobj	in
he	he	nsubj	was
a second moult	moult	pobj	to
December	December	pobj	in
a wearing	wearing	attr	is
the tips	tips	pobj	of
the feathers	feathers	pobj	of
Agelaius	Agelaius	pobj	in
other birds	birds	conj	Agelaius
The Spoonbills	Spoonbills	nsubj	leave
the vicinity	vicinity	dobj	leave
Corpus Christi	Christi	pobj	of
February	February	pobj	of
a few stragglers	stragglers	nsubj	remain
none	none	nsubjpass	known
the Texas coast	coast	pobj	on
late years	years	pobj	of
This state	state	nsubj	is
affairs	affairs	pobj	of
their persecution	persecution	pobj	to
the destruction	destruction	pobj	to
the forests	forests	pobj	of
Corjus Christi	Christi	pobj	between
Brownsville	Brownsville	conj	Christi
the river mouths	mouths	pobj	nearer
this formerly abundant species	species	dative	affording
suitable rookery sites	sites	dobj	affording
It	It	nsubj	is
the flock	flock	pobj	of
birds	birds	pobj	of
Nueces Bay	Bay	pobj	on
the coast	coast	pobj	on
Brownsville	Brownsville	pobj	of
comparative safety	safety	pobj	in
they	they	nsubj	return
this spot	spot	pobj	to
considerable numbers	numbers	pobj	in
the latter part	part	pobj	as
April	April	pobj	of
their maximum numbers	numbers	dobj	attaining
the latter part	part	pobj	in
May.	May.	pobj	of
Their evident attachment	attachment	nsubj	be
the vicinity	vicinity	pobj	to
Nueces Bay	Bay	pobj	of
the facilities	facilities	pobj	to
it	it	nsubj	affords
them	them	dobj	affords
the great item	item	pobj	in
food supply	supply	pobj	of
the reception	reception	pobj	for
these birds	birds	dobj	accorded
Corpus Christi gunners	gunners	pobj	by
"13.
Botaurus"	Botaurus	attr	"
"
Least Bittern	Bittern	appos	Botaurus
this bird	bird	nsubjpass	overlooked
former observers	observers	pobj	by
I	I	nsubj	conceive
the marshes	marshes	pobj	in
Nueces Bay	Bay	pobj	of
them	them	pobj	of
distended ovaries	ovaries	pobj	with
Ardea herodias Linn	Linn	appos	14
Ardea egretta GmeL American Egret	Egret	appos	15
Merrill	Merrill	nsubj	found
Sennet	Sennet	conj	Merrill
a lagoon heronry	heronry	pobj	in
the Rio Granie	Granie	pobj	on
Ardea tricolor ruficoUis Gosse	Gosse	appos	16
these birds	birds	pobj	of
the reeds	reeds	pobj	among
the mouth	mouth	pobj	at
the Nueces River	River	pobj	of
Nycticorax nycticorax nsevius Bodd	Bodd	appos	18
Immense numbers	numbers	nsubjpass	found
this species	species	pobj	of
the tali brake	brake	pobj	in
the Nueces River mouth	mouth	pobj	at
The flocks	flocks	nsubjpass	composed
every stage	stage	pobj	in
plumage	plumage	pobj	of
some distant rookery	rookery	pobj	from
no signs	signs	nsubjpass	found
nests	nests	pobj	of
the immediate vicinity	vicinity	pobj	in
Rallus elegans	elegans	appos	19
Aud	Aud	appos	elegans
A rail	rail	nsubjpass	flushed
this species	species	pobj	of
the peninsular marsh	marsh	pobj	in
the city	city	pobj	near
I	I	nsubj	failed
it	it	dobj	secure
Avocet	Avocet	attr	"
"
Pairs	Pairs	nsubjpass	seen
scattered individuals	individuals	conj	Pairs
my stay	stay	pobj	throughout
Mr. Priour	Priour	nsubj	states
they	they	nsubj	breed
the vicinity	vicinity	pobj	in
Blacknecked Stilt	Stilt	appos	Miill
This clamorous and uneasy bird	bird	nsubj	breeds
suitable places	places	pobj	in
Corpus Christi	Christi	pobj	near
Nests	Nests	nsubjpass	found
eggs	eggs	pobj	with
"
Pectoral Sandpiper"	Sandpiper	ROOT	Sandpiper
I	I	nsubj	secured
"
23.
Tringa fuscicollis Vieill.
Whiterumped Sandpiper"	Sandpiper	ROOT	Sandpiper
Nearly a dozen	dozen	nsubj	frequented
these wary birds	birds	pobj	of
the salt ponds	ponds	dobj	frequented
the mainland shore	shore	pobj	on
Nueces Bay	Bay	pobj	of
This species	species	nsubj	appear
Ereunetes pusillus Linn	Linn	oprd	appear
Semipalmated Sandpiper	Sandpiper	oprd	appear
Small flocks	flocks	nsubjpass	seen
several specimens	specimens	nsubj	secured
Tetanus melanoleucus Gmel	Gmel	oprd	appear
Greater Yellowlegs	Yellowlegs	oprd	appear
A pair	pair	nsubjpass	shot
"
AVestern AVillet"	AVillet	ROOT	AVillet
Two specimens	specimens	nsubjpass	obtained
this race	race	pobj	to
Willets	Willets	nsubj	breeding
limited numbers	numbers	pobj	in
the city flats	flats	pobj	on
Longbilled Curlew	Curlew	conj	breeding
They	They	nsubj	seemed
breeding	breeding	dobj	done
Blackbellied Plover	Plover	appos	Linn
The abundance	abundance	nsubj	is
this Plover	Plover	pobj	of
June	June	pobj	of
this neighborhood	neighborhood	pobj	in
interest	interest	pobj	of
Kildeer	Kildeer	appos	29
"30.
Aegialitis semipalmata Bonap"	Bonap	appos	29
3L Aegialitis wilsonia Ord	Ord	attr	"
"
Wilson's Plovei	Plovei	nsubj	Breeding
the bayside	bayside	pobj	along
Turnstone	Turnstone	appos	Linn
My remarks	remarks	nsubj	apply
Charadrius squatarola	squatarola	pobj	on
equal force	force	pobj	with
the Turnstone	Turnstone	pobj	to
"
Wild Turkey"	Turkey	ROOT	Turkey
I	I	nsubj	spent
some time	time	dobj	spent
the vicinity	vicinity	pobj	in
Mr. Chapman	Chapman	nsubj	secured
his specimens	specimens	dobj	secured
well known turkeyroosts	turkeyroosts	dobj	visited
night	night	pobj	at
I	I	nsubj	was
these birds	birds	pobj	of
Zenaidura macroura Linn	Linn	appos	35
the United States	States	pobj	in
I	I	nsubj	found
this bird	bird	nsubj	abundant
Texas	Texas	pobj	in
A dozen to twenty nests	nests	nsubjpass	found
nearly every acre	acre	pobj	in
chaparral	chaparral	pobj	of
two nests	nests	nsubjpass	found
the same mesquite bush	bush	pobj	in
"36.
Cathartes aura Linn"	Linn	attr	"
"
Turkey Vulture	Vulture	appos	Linn
Catharista atrata Bartr	Bartr	ROOT	Bartr
Black Vulture	Vulture	attr	"
"
Parabuteo unicinctus harrisi Aud	Aud	attr	"
"
Harris'Hawk	Harris'Hawk	appos	Aud
The commonest species	species	appos	Aud
"39.
Buteo lineatus Gmel"	Gmel	oprd	"
"
Redshouldered Hawk	Hawk	appos	Gmel
the Nueces River	River	pobj	up
Falco sparverius Linn	Linn	ROOT	Linn
"
Sparrow Hawk"	Hawk	ROOT	Hawk
"41.
Polyborus cheriway Jacq"	Jacq	attr	"
"
Pandion haliaetus	haliaetus	ROOT	haliaetus
Gmel	Gmel	appos	haliaetus
"
American Osprey"	Osprey	ROOT	Osprey
two occasions	occasions	pobj	on
Nueces Bay	Bay	pobj	near
Syrnium nebulosum Forst	Forst	ROOT	Forst
"
Barred Owl"	Owl	ROOT	Owl
the night	night	pobj	On
my encampment	encampment	pobj	of
the upper Nueces	Nueces	pobj	on
the peculiar hooting	hooting	nsubj	indicated
this owl	owl	pobj	of
its abundance	abundance	dobj	indicated
Megascops asio mccallii Cass	Cass	appos	44
the timber	timber	nsubj	 
the form	form	pobj	in
Mottes	Mottes	dobj	 
riverside woodlands	woodlands	conj	Mottes
a retreat	retreat	dobj	afford
this owl	owl	nsubj	was
Groovebilled Ani	Ani	attr	"
"
A specimen	specimen	nsubjpass	collected
Corjius	Corjius	pobj	of
Mr. Priour	Priour	pobj	by
my visit	visit	pobj	to
June	June	pobj	of
the same spot	spot	pobj	near
Geococcyx californianus	californianus	dobj	"
"
Road Runner	Runner	appos	californianus
Coccyzus americanus Linn	Linn	attr	"
"
Yellowbilled Cuckoo	Cuckoo	appos	Linn
Ceryle alcyon Linn	Linn	ROOT	Linn
Kingfisher	Kingfisher	appos	Linn
"49.
Dryobates scalaris bairdi Scl"	Scl	attr	"
"
Baird's Woodpecker	Woodpecker	attr	"
"
"50.
Melanerpes aurifrons Wagl"	Wagl	attr	"
"
Goldenfronted Woodpecker	Woodpecker	appos	Wagl
Corpus Christi	Christi	pobj	About
this bird	bird	nsubj	is
the Flicker	Flicker	nsubj	is
the east	east	pobj	in
telegraph joles	joles	pobj	in
high fence posts	posts	conj	joles
less settled parts	parts	pobj	In
they	they	nsubj	are
Antrostomus carolinensis Gmel	Gmel	appos	51
Chuck Will's Widow	Widow	appos	Gmel
A specimen	specimen	nsubjpass	secured
Corpus Christi	Christi	pobj	near
April	April	pobj	in
Mr. Priour	Priour	pobj	by
I	I	nsubj	heard
none	none	dobj	heard
my stay	stay	pobj	during
This Goatsucker	Goatsucker	nsubjpass	heard
my stay	stay	pobj	throughout
Corpus Christi	Christi	pobj	at
San Patricio	Patricio	pobj	around
the bird	bird	nsubjpass	perched
a fence	fence	pobj	on
I	I	nsubj	traced
it	it	dobj	traced
the ground	ground	pobj	to
the narrow cowpaths	cowpaths	pobj	in
the chaparral	chaparral	pobj	of
open glades	glades	pobj	in
A nest	nest	nsubjpass	found
a single egg	egg	dobj	containing
San Patricio	Patricio	pobj	near
June	June	pobj	of
Western Nighthawk	Nighthawk	appos	Cass
All the Xigbthawks	Xigbthawks	nsubj	appear
Corpus Christi	Christi	pobj	around
this race	race	pobj	to
C. texensis	texensis	nsubj	finds
its southwestern breediug limit	limit	dobj	finds
Corpus Christi	Christi	pobj	between
San Antonio	Antonio	conj	Christi
the migrations	migrations	pobj	during
texensis	texensis	nsubjpass	noticed
Priour	Priour	pobj	by
Corpus Christi	Christi	pobj	of
Chimney Swift	Swift	appos	Linn
This species	species	nsubj	is
another unaccountable omission	omission	attr	is
Beckham's li.t	li.t	pobj	fi'om
quite a number	number	nsubjpass	seen
Trochilus colubris Linn	Linn	attr	is
Rubythroated Hummingbird	Hummingbird	attr	is
Three individuals	individuals	nsubj	seen
Milvulus forficatus GmeL.	GmeL.	appos	56
These elegant birds	birds	nsubj	moult
the summer	summer	pobj	in
June	June	pobj	of
their bright colors	colors	nsubj	are
the tailfeathers	tailfeathers	nsubj	threadbare
a dozen specimens	specimens	pobj	of
no exceptions	exceptions	attr	were
this rule	rule	pobj	to
the breeding season	season	nsubj	begun
The worn appearance	appearance	nsubj	is
the tail	tail	pobj	of
the necessary switching	switching	pobj	to
it	it	pobj	of
the devious pursuit	pursuit	pobj	in
insect prey	prey	pobj	of
it	it	nsubjpass	attributed
the fact	fact	pobj	to
the birds	birds	nsubj	are
tieir habits	habits	pobj	in
I	I	nsubj	observed
them	them	nsubj	gleaning
hours	hours	pobj	for
insects	insects	dobj	gleaning
the open pastures	pastures	pobj	in
salt fiats	fiats	conj	pastures
Corpus Christi	Christi	pobj	near
hesitation	hesitation	pobj	without
the short grass	grass	pobj	in
their food	food	dobj	devour
I	I	nsubj	observed
the males	males	nsubj	mounting
the air	air	pobj	in
the manner	manner	pobj	after
Kingbirds	Kingbirds	pobj	of
"57.
Tyrannus tyrannus Linn"	Linn	attr	"
"
Kingbird	Kingbird	appos	Linn
The only specimen	specimen	nsubjpass	obtained
this species	species	pobj	of
Corpus Christi	Christi	pobj	near
May 30th	30th	pobj	on
"
Myiarchus crinitus Linn"	Linn	ROOT	Linn
Crested Flycatcher	Flycatcher	appos	Linn
the Nueces Eiver bottoms	bottoms	pobj	near
Another .specimen	.specimen	nsubjpass	obtained
Corpus Christi	Christi	pobj	at
Mr. Priour	Priour	pobj	from
The latter specimen	specimen	nsubj	has
a distinct dark band	band	dobj	has
